subject_id,n_trials,accuracy_lda,accuracy_svm,accuracy_lda_svm
1,40,0.625,0.625,0.75
2,43,0.3333333333333333,0.7777777777777778,0.3333333333333333
3,42,0.6666666666666666,0.4444444444444444,0.6666666666666666
4,45,0.4444444444444444,0.5555555555555556,0.4444444444444444
5,39,0.625,0.875,0.625
6,32,0.5714285714285714,0.5714285714285714,0.7142857142857143
7,44,0.8888888888888888,0.8888888888888888,0.7777777777777778
8,43,0.5555555555555556,0.8888888888888888,0.6666666666666666
10,40,0.625,0.75,0.625
11,44,0.7777777777777778,0.6666666666666666,0.7777777777777778
12,43,0.3333333333333333,0.4444444444444444,0.4444444444444444
14,45,0.6666666666666666,0.6666666666666666,0.6666666666666666
15,19,1.0,0.75,1.0
16,45,0.7777777777777778,0.5555555555555556,0.7777777777777778
18,45,0.4444444444444444,0.5555555555555556,0.4444444444444444
19,38,0.125,0.25,0.125
20,45,0.5555555555555556,0.4444444444444444,0.4444444444444444
21,17,0.5,0.5,0.5
22,33,0.8571428571428571,0.7142857142857143,0.8571428571428571
23,16,0.25,1.0,0.25
25,45,1.0,0.5555555555555556,0.6666666666666666
26,45,0.4444444444444444,0.4444444444444444,0.3333333333333333
27,35,0.2857142857142857,0.2857142857142857,0.2857142857142857
28,11,0.0,0.3333333333333333,0.0
29,45,0.7777777777777778,0.7777777777777778,0.7777777777777778
30,45,0.5555555555555556,0.4444444444444444,0.5555555555555556
31,37,0.75,0.75,0.75
33,45,0.4444444444444444,0.4444444444444444,0.4444444444444444
34,45,0.8888888888888888,1.0,1.0
35,45,0.6666666666666666,0.5555555555555556,0.6666666666666666
36,26,0.3333333333333333,0.16666666666666666,0.3333333333333333
37,45,0.5555555555555556,0.4444444444444444,0.5555555555555556
38,41,0.6666666666666666,0.5555555555555556,0.6666666666666666
39,18,0.75,0.75,0.75
40,37,0.625,0.625,0.75
41,45,0.6666666666666666,0.3333333333333333,0.5555555555555556
42,45,1.0,0.8888888888888888,1.0
43,28,0.6666666666666666,0.5,0.6666666666666666
45,25,0.6,0.6,0.6
46,44,0.4444444444444444,0.5555555555555556,0.3333333333333333
47,45,0.7777777777777778,0.6666666666666666,0.7777777777777778
50,44,0.2222222222222222,0.3333333333333333,0.2222222222222222
51,45,0.4444444444444444,0.3333333333333333,0.3333333333333333
52,14,0.3333333333333333,0.6666666666666666,0.3333333333333333
53,28,0.6666666666666666,0.8333333333333334,0.6666666666666666
54,12,0.6666666666666666,0.6666666666666666,0.6666666666666666
55,45,0.7777777777777778,0.7777777777777778,0.7777777777777778
57,37,0.625,0.625,0.5
58,44,0.4444444444444444,0.3333333333333333,0.4444444444444444
59,30,0.5,0.8333333333333334,0.5
60,27,0.8333333333333334,0.8333333333333334,0.8333333333333334
61,20,0.75,0.75,0.75
62,45,0.5555555555555556,0.3333333333333333,0.5555555555555556
63,28,0.3333333333333333,0.3333333333333333,0.3333333333333333
64,45,0.6666666666666666,0.6666666666666666,0.7777777777777778
65,39,0.625,0.5,0.5
66,43,0.4444444444444444,0.5555555555555556,0.4444444444444444
67,43,0.4444444444444444,0.2222222222222222,0.5555555555555556
68,40,0.5,0.375,0.5
69,43,0.6666666666666666,0.4444444444444444,0.6666666666666666
70,42,0.7777777777777778,0.8888888888888888,0.7777777777777778
71,39,0.625,0.75,0.625
72,45,0.8888888888888888,0.7777777777777778,0.8888888888888888
73,45,0.6666666666666666,0.7777777777777778,0.6666666666666666
74,45,0.5555555555555556,0.5555555555555556,0.5555555555555556
76,45,0.5555555555555556,0.4444444444444444,0.5555555555555556
77,14,0.3333333333333333,0.3333333333333333,0.3333333333333333
78,43,0.2222222222222222,0.1111111111111111,0.3333333333333333
80,43,1.0,1.0,1.0
81,45,0.6666666666666666,0.6666666666666666,0.6666666666666666
82,43,0.3333333333333333,0.4444444444444444,0.3333333333333333
83,21,0.2,0.6,0.2
84,30,0.6666666666666666,0.5,0.6666666666666666
85,35,0.7142857142857143,1.0,0.5714285714285714
86,17,0.25,0.5,0.25
87,11,0.3333333333333333,0.0,0.3333333333333333
88,40,0.25,0.375,0.25
89,45,0.7777777777777778,0.7777777777777778,0.7777777777777778
90,23,0.6,0.6,0.6
91,17,0.75,0.5,0.75
92,24,0.4,0.6,0.4
93,45,0.6666666666666666,0.6666666666666666,0.6666666666666666
94,11,1.0,1.0,1.0
96,21,0.2,0.2,0.2
97,43,0.4444444444444444,0.4444444444444444,0.5555555555555556
98,45,0.8888888888888888,0.7777777777777778,0.8888888888888888
100,11,0.6666666666666666,0.3333333333333333,0.6666666666666666
